U0(mV)	U90(mV)	I(mA)	errorU0(%)	errorU90(%)	TxV(V)		
25.02.2022	16:58:17				
2.36469	-0.00956	0.01	0	16	0
2.8743	-0.00323	0.01	0	6	0
2.6483	-0.00523	0.01	0	6	0
1.86547	-0.00905	0.01	0	20	0
2.50268	-0.00884	0.01	0	0	0
1.77749	-0.01413	0.01	0	4	0
1.66422	-0.01175	0.01	0	2	0
1.73381	-0.00759	0.01	0	7	0
1.69135	-0.00918	0.01	0	21	0
2.39055	-0.00714	0.01	0	3	0
2.01181	-0.01516	0.01	0	1	0
2.29678	-0.0135	0.01	0	7	0
2.89862	-0.00425	0.01	0	30	0
2.99278	-0.00299	0.01	0	15	0
1.63081	-0.01231	0.01	0	6	0
1.83269	-0.01512	0.01	0	3	0
1.62755	-0.01457	0.01	0.1	5	0
1.7538	-0.01579	0.01	0.1	25	0
1.82026	-0.0093	0.01	0	3	0
1.88391	-0.00963	0.01	0	6	0
2.16831	-0.0117	0.01	0	5	0
2.56149	-0.01147	0.01	0	4	0
1.61725	-0.00323	0.01	1.8	53	0
1.92833	-0.01131	0.01	0	0	0
2.2897	-0.00221	0.01	0	117	0
2.26545	-0.00633	0.01	0	10	0
2.04578	0.00551	0.01	1	230	0
2.16519	-0.00885	0.01	0	5	0
1.95576	-0.01247	0.01	0	40	0
2.51998	-0.00479	0.01	0	21	0
1.75951	-0.00769	0.01	0	0	0
1.75441	-0.00945	0.01	0	1	0
27.02.2022	00:00:28				
0					
12.81					
5.18033	0.00947	0.01	0	11	0
5.94652	0.01748	0.01	0	1	0
5.14157	0.01221	0.01	0	14	0
3.74357	-0.00075	0.01	0	72	0
5.95021	0.00422	0.01	0	9	0
5.48806	0.00144	0.01	0	78	0
5.11782	0.00146	0.01	0	190	0
5.01004	0.01166	0.01	0	12	0
2.58705	-0.00587	0.01	0	6	0
2.60587	-0.00649	0.01	0	30	0
3.12502	-0.01163	0.01	0	6	0
2.83241	-0.0133	0.01	0	8	0
3.38751	-0.0074	0.01	0	4	0
3.10091	-0.00657	0.01	0	5	0
3.75829	-0.00408	0.01	0	15	0
1.89165	-0.01379	0.01	0	4	0
1.91926	-0.01589	0.01	0	1	0
2.79241	-0.0129	0.01	0	21	0
2.79942	-0.0084	0.01	0	13	0
1.65833	-0.01142	0.01	0	9	0
2.34927	-0.00815	0.01	0	49	0
1.60163	-0.0182	0.01	0	4	0
1.51415	-0.01732	0.01	0	0	0
1.58272	-0.01503	0.01	0	1	0
1.50089	-0.01187	0.01	0	2	0
1.62252	-0.00773	0.01	0	11	0
5.24577	0.01126	0.01	0	40	0
4.68637	0.00227	0.01	0	11	0
4.55712	0.00504	0.01	0	9	0
5.62733	0.00824	0.01	0	33	0
4.84281	0.00333	0.01	0	27	0
5.68463	0.00771	0.01	0	16	0
5.71016	0.01346	0.01	0	32	0
5.05375	0.00908	0.01	0	13	0
2.82909	-0.0094	0.01	0	5	0
2.72952	-0.0064	0.01	0	9	0
3.02577	-0.0065	0.01	0	19	0
3.00031	-0.01084	0.01	0	4	0
3.62429	-0.00669	0.01	0	9	0
3.17849	-0.00931	0.01	0	1	0
3.1424	-0.01037	0.01	0	6	0
1.96217	-0.00922	0.01	0	1	0
2.25696	-0.01232	0.01	0	6	0
2.25306	-0.01454	0.01	0	4	0
2.73522	-0.01159	0.01	0	2	0
1.87597	-0.01609	0.01	0.1	24	0
2.0464	-0.01137	0.01	0	0	0
2.63841	-0.00292	0.01	0	73	0
1.59412	-0.01269	0.01	0	15	0
2.05349	-0.01377	0.01	0	13	0
2.43768	-0.00983	0.01	0	3	0
1.52509	-0.01349	0.01	0	2	0
1.93722	-0.00918	0.01	0	2	0
